Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,invalid,"invalid",1,112,350,150,8,28,100,8,4,100,31,16
3,move,"move 9 5",2,117,350,150,8,28,100,9,5,100,31,16
4,move,"move 30 17",3,122,350,150,8,28,100,9,5,100,30,17
5,move,"move 9 27",1,127,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,134,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,141,350,150,9,27,100,9,5,100,30,17
8,dig,"dig 10 26",1,148,350,150,9,27,100,9,5,100,30,17
9,move,"move 10 6",2,153,350,150,9,27,100,10,6,100,30,17
10,move,"move 29 17",3,158,350,150,9,27,100,10,6,100,29,17
11,move,"move 10 26",1,163,350,150,10,26,100,10,6,100,29,17
12,move,"move 11 7",2,168,350,150,10,26,100,11,7,100,29,17
13,move,"move 28 17",3,173,350,150,10,26,100,11,7,100,28,17
